2025-01-08 12:15:02,515: IDs: [np.int64(89), np.int64(44), np.int64(49), np.int64(10), np.int64(33), np.int64(60), np.int64(45), np.int64(81), np.int64(54), np.int64(71), np.int64(52), np.int64(21), np.int64(6), np.int64(37), np.int64(88), np.int64(23)]
2025-01-08 12:15:02,515: Objs: [42, 22, 25, 2, 25, 40, 29, 21, 21, 21, 43, 31, 16, 5, 2, 20]
2025-01-08 12:15:02,515: Actions: [0, 4, 1, 4, 2, 1, 2, 2, 1, 1, 3, 1, 3, 1, 3, 2]
2025-01-08 12:15:02,516: IDs: [np.int64(89), np.int64(43), np.int64(39), np.int64(9), np.int64(34), np.int64(50), np.int64(46), np.int64(82), np.int64(46), np.int64(61), np.int64(64), np.int64(11), np.int64(14), np.int64(27), np.int64(100), np.int64(24)]
2025-01-08 12:15:02,516: Objs: [42, 33, 5, 3, 43, 13, 13, 37, 7, 14, 1, 12, 42, 7, 17, 9]
2025-01-08 12:15:02,516: Actions: [4, 2, 1, 4, 1, 2, 4, 4, 1, 3, 0, 1, 4, 1, 4, 3]
2025-01-08 12:15:02,517: IDs: [np.int64(88), np.int64(44), np.int64(29), np.int64(8), np.int64(26), np.int64(51), np.int64(45), np.int64(81), np.int64(38), np.int64(71), np.int64(64), np.int64(1), np.int64(13), np.int64(17), np.int64(99), np.int64(34)]
2025-01-08 12:15:02,517: Objs: [35, 22, 1, 9, 10, 31, 29, 21, 1, 21, 1, 43, 27, 5, 44, 29]
2025-01-08 12:15:02,517: Actions: [1, 1, 1, 4, 2, 0, 0, 0, 2, 4, 1, 0, 1, 2, 3, 2]
2025-01-08 12:15:02,517: IDs: [np.int64(78), np.int64(36), np.int64(19), np.int64(7), np.int64(27), np.int64(51), np.int64(45), np.int64(81), np.int64(39), np.int64(70), np.int64(52), np.int64(1), np.int64(5), np.int64(18), np.int64(111), np.int64(35)]
2025-01-08 12:15:02,517: Objs: [10, 28, 13, 5, 21, 31, 29, 21, 8, 8, 43, 43, 10, 41, 31, 28]
